title,id,activity,status
Align ctags and etags targets and include Python stdlib,39144,2019-12-28.16:25:22,2
Implementing sub-generation steps in the gc,39143,2019-12-28.16:24:35,1
logging.config.dictConfig will convert namedtuple to ConvertingTuple,39142,2019-12-28.15:48:23,1
can't construct dataclass as ABC (or runtime check as data protocol),39134,2019-12-28.15:18:15,1
`from __future__ import annotations` has no effect inside `ast.parse`,35143,2019-12-28.14:04:14,2
PyLong_ API cleanup,32438,2019-12-28.12:44:53,2
"Deprecate implicit truncating when convert Python numbers to C integers: use __index__, not __int__",36048,2019-12-28.12:42:33,2
DatagramProtocol + IPv6 does not work with ProactorEventLoop,39148,2019-12-28.10:57:07,1
Innocuous parent class changes multiple inheritance MRO,39145,2019-12-28.10:50:04,1
Possible performance improvement for heaqq.merge(),38938,2019-12-28.10:18:50,1
using zipfile with root privilege shows FileNotFoundError,39147,2019-12-28.09:56:02,1
too much memory consumption in re.compile unicode,39146,2019-12-28.09:29:34,1
Undefined behavior in Python/hamt.c,37446,2019-12-28.09:11:04,1
Misleading documentation for tuple,39112,2019-12-28.08:09:54,1
Misleading documentation for NotImplemented,39111,2019-12-28.07:11:38,1
IDNA prefix should be case insensitive,19083,2019-12-28.06:59:15,1
Typos in whatsnew file and docs,39136,2019-12-28.03:46:57,1
bad input crashes py_compile library,38731,2019-12-28.02:58:52,1
Document various options for getting the absolute path from pathlib.Path objects,39090,2019-12-28.02:09:25,1
UDP sendto() sends duplicate packets,37542,2019-12-27.22:17:13,1
Add silent mode for py_compile,22640,2019-12-27.22:06:20,2
Deprecate and remove pth files,33944,2019-12-27.21:18:29,1
Performance regression for making bound methods,39117,2019-12-27.20:35:52,1
AsyncMock is unable to correctly patch static or class methods,39082,2019-12-27.20:31:19,1
types.SimpleNamespace should preserve attribute ordering (?),39075,2019-12-27.20:15:15,1
Use types.SimpleNamespace for argparse.Namespace,39076,2019-12-27.20:07:27,1
IDLE Clear function returns 256 on Mac OS Catalina,39141,2019-12-27.19:47:57,1
implement per-opcode cache in ceval,26219,2019-12-27.19:07:14,2
pathlib.Path.resolve(strict=False) returns relative path on Windows if the entry does not exist,38671,2019-12-27.18:53:54,1
wait_for and Condition.wait still not playing nicely,39032,2019-12-27.17:20:17,1
compile(mode='eval') uninformative error message,38131,2019-12-27.16:27:01,1
Add stacklevel parameter to logging APIs,33165,2019-12-27.14:15:12,2
image/webp support in mimetypes,38902,2019-12-27.07:20:47,1
shutil.move does not work properly with pathlib.Path objects,39140,2019-12-27.03:13:08,2
Outdated function attribute to disable address sanitizer,30364,2019-12-27.03:10:55,2
time.get_clock_info() documentation still has 'clock' name,39135,2019-12-27.03:07:27,2
Automate update of doc references to UCD version when it changes.,22593,2019-12-27.02:48:31,1
PyStructSequence_NewType() not setting proper heap allocation flag?,20066,2019-12-27.02:24:56,2
smtplib doesn't handle unicode passwords,29750,2019-12-26.23:46:13,1
Increase Enum performance,39102,2019-12-26.21:55:44,1
Reference to depricated collections.abc class in collections is unnecessary and confusing,39139,2019-12-26.20:33:56,1
Adding funcitonality to determine if a constant string node is triple quoted,39132,2019-12-26.15:51:52,2
import a pycapsule object that's attached on many modules,39138,2019-12-26.11:25:05,1
create_unicode_buffer() gives different results on Windows vs Linux,39137,2019-12-26.10:54:39,1
Inconsistency in exceptions for dataclasses.dataclass documentation,33961,2019-12-25.22:53:17,2
threading lib. working improperly on idle window,39133,2019-12-25.22:01:16,1
argparse: append action with default list adds to list instead of overriding,16399,2019-12-25.21:03:02,1
OSError preadv(),37509,2019-12-25.15:43:58,2
isinstance checks in os.path.normcase redundant with os.fspath,30427,2019-12-25.15:40:39,1
Add suggestions to argparse error message output for unrecognized arguments,39106,2019-12-25.15:05:35,2
Implement LOAD_GLOBAL opcode cache,28158,2019-12-25.13:46:21,2
Globals / builtins cache,10401,2019-12-25.13:42:25,2
Document that dicts preserve insertion order,33609,2019-12-25.13:36:44,2
email/_header_value_parser.py:parse_message_id: UnblondLocalError,39119,2019-12-25.12:52:17,2
[C API] No efficient C API to get UTF-8 string from unicode object.,39087,2019-12-25.07:41:22,1
AsyncMock not cited as new in 3.8,38753,2019-12-25.06:06:08,2
Wrong attachement filename when mail mime header was too long,39040,2019-12-24.19:41:53,1
Python launcher on Windows does not detect active venv,38999,2019-12-24.18:57:50,1
"Module's __file__ should be absolute always (""."" in sys.path)",34444,2019-12-24.18:29:34,2
signing needs two serialisation passes,39131,2019-12-24.17:53:24,1
Dict is reversable from v3.8 and should say that in the doc,39130,2019-12-24.13:34:21,1
Incorrect import of TimeoutError while creating happy eyeballs connection,39129,2019-12-24.13:27:14,1
Clarify Python MIME type,39115,2019-12-24.10:02:31,2
Document happy eyeball parameters in loop.create_connection signature docs,39128,2019-12-24.08:36:45,1
iscoroutinefunction broken with cython - allow tagging of functions as async?,38225,2019-12-24.08:24:44,1
_Py_HashPointer's void * argument should be const,39127,2019-12-24.05:01:40,1
Non-bmp (astral) unicode characters confuse the editor,39126,2019-12-23.22:22:38,1
remove free_list for bound method objects,37340,2019-12-23.22:20:52,2
Min/max not symmetric in presence of NaN,11986,2019-12-23.21:35:06,2
Better NaN sorting.,36095,2019-12-23.21:00:15,2
http.client aborts header parsing upon encountering non-ASCII header names,37093,2019-12-23.20:35:39,1
"ElementTree attributes replace ""\r"" with ""\n""",39011,2019-12-23.19:19:53,1
"ssl.SSLSocket.send(b"""") fails",31711,2019-12-23.18:47:33,1
os.PathLike subclasshook causes subclass checks true on abstract implementation,38878,2019-12-23.18:32:01,2
ctypes: memoryview gives incorrect PEP3118 format strings for both packed and unpacked structs,32780,2019-12-23.17:24:49,1
ValueError in TarFile.getmembers,39062,2019-12-23.16:45:45,1
Python 3.9.0a2 changed how finally/return is traced,39114,2019-12-23.16:45:03,1
Expose ast.unparse in the ast module,38870,2019-12-23.16:42:54,1
Type signature of @property not shown in help(),39125,2019-12-23.16:37:13,1
round Decimal error,39124,2019-12-23.15:39:52,2
Clarify wording for warning message when checking a package,38914,2019-12-23.14:53:21,1
gzip header write OS field,39121,2019-12-23.14:51:19,1
Adapt heapq push/pop/replace to allow passing a comparator.,20905,2019-12-23.14:47:09,2
PyThread_xxx() not available when using limited API,39123,2019-12-23.14:23:44,1
Environment variable PYTHONUSERBASE is not set during customized Python Installation,39122,2019-12-23.11:10:22,1
Drop the GIL during large bytes.join operations?,36051,2019-12-23.05:12:29,1
Variables changing values on their own,39118,2019-12-22.22:38:37,2
pyodbc dll load failed,39120,2019-12-22.20:23:41,2
asyncio.Task.print_stack doesn't print the full stack,39060,2019-12-22.14:59:29,1
Add clamp() function to builtins,36788,2019-12-22.10:24:44,2
netrc module does not handle multiple entries for a single host,11416,2019-12-22.10:23:49,1
email.parser.BytesParser - parse and parsebytes work not equivalent,39071,2019-12-22.00:38:15,1
Add a cross-interpreter-safe mechanism to indicate that an object may be destroyed.,33608,2019-12-21.23:16:38,1
Runtime finalization assumes all other threads have exited.,36476,2019-12-21.20:15:13,1
Heap out of bounds read in tok_nextc(),29732,2019-12-21.19:04:36,1
Add dtrace hook for PyCFunction_Call,32599,2019-12-21.18:47:11,1
"Emit a syntax warning for ""is"" with a literal",34850,2019-12-21.18:18:15,2
PyUnicode_AsUTF8AndSize Sometimes Segfaults With Incomplete Surrogate Pair,39113,2019-12-21.16:48:44,2
Fix few dead code paths,33772,2019-12-21.16:10:33,2
StreamReader.readexactly() raises GeneratorExit on ProactorEventLoop,39116,2019-12-21.16:04:36,1
import error when in python -m pdb debug mode,39052,2019-12-21.13:27:10,1
UserList-subclass Tree slicing changes the original list unexpectedly,39110,2019-12-21.12:43:31,2
__debug__ is a keyword but not a keyword,36000,2019-12-21.08:34:17,1
Embedding should have public API for interactive mode,30905,2019-12-21.08:12:40,1
Expose Py_TPFLAGS_ values from Python,24945,2019-12-21.06:43:00,1
"imp.find_module("""") and imp.find_module(""."")",13047,2019-12-21.06:40:19,1
"random needs doc for ""gauss"" versus ""normalvariate""",39108,2019-12-21.01:54:16,1
Py_Finalize() doesn't stop daemon threads,24770,2019-12-20.23:33:07,2
Unclear behavior of daemon threads on main thread exit,13077,2019-12-20.23:21:06,1
Speed up python startup by pre-warming the vm,34296,2019-12-20.23:13:14,1
MainThread association logic is fragile,31517,2019-12-20.23:12:47,1
allow per-thread atexit(),14073,2019-12-20.23:10:00,1
Deadlock between GIL and pystate head_mutex.,28812,2019-12-20.23:09:15,1
Fatal Python error: Interpreter not initialized,1332869,2019-12-20.23:07:40,1
KeyError at exit after 'import threading' in other thread,1596321,2019-12-20.23:05:27,1
"OSError: handle closed, ProcessPoolExecutor shutdown(wait=False)",39098,2019-12-20.21:44:31,1
"""Format Specification Mini-Language"" doc mistake for Decimal",39096,2019-12-20.21:42:34,1
Reorder  __aenter__ & __aexit__ checks for async with statement,39048,2019-12-20.20:03:46,1
"datetime.strftime(""%Y"") not consistent for years < 1000",13305,2019-12-20.19:34:44,1
[linux] strftime renders %Y with only 3 characters,39103,2019-12-20.19:34:12,2
Add __module__ entry for function type in inspect docs table.,38918,2019-12-20.19:29:09,2
Uninitialized objects are tracked by the garbage collector,23868,2019-12-20.19:20:35,2
Misleading variable name in exception handling,26845,2019-12-20.19:10:58,2
Use the runtime's main thread ID in the threading module.,39042,2019-12-20.18:57:08,1
