Repository,Type,#,User,Title,State,Created,Updated,URL
python/cpython,PR,17784,khalidmammadov,bpo-39180: Added getlines function to docs for linecache module,open,01/01/20 18:11:41,01/01/20 18:16:14,https://github.com/python/cpython/pull/17784
python/cpython,PR,17783,youkaichao,More Memory-efficient Implementation of itertools.cycle,open,01/01/20 18:07:19,01/01/20 18:07:23,https://github.com/python/cpython/pull/17783
python/cpython,PR,17782,ZackerySpytz,bpo-35561: Fix valgrind warnings in selectmodule.c,open,01/01/20 17:45:14,01/01/20 17:47:07,https://github.com/python/cpython/pull/17782
python/cpython,PR,17781,hoefling,replace links in howto/pyporting.rst with sphinx references,open,01/01/20 17:19:47,01/01/20 17:19:52,https://github.com/python/cpython/pull/17781
python/cpython,PR,17780,corona10,bpo-38871: Fix lib2to3 to be able to use in edge cases of filter,open,01/01/20 12:47:07,01/01/20 16:49:21,https://github.com/python/cpython/pull/17780
python/cpython,PR,17775,MaharishiCanada,bpo-39171: Missing root in tkinter simpledialog.py _QueryDialog,open,01/01/20 02:12:42,01/01/20 03:21:19,https://github.com/python/cpython/pull/17775
python/cpython,PR,17774,orsenthil,[2.7] bpo-27973 - urlretrive fails on second ftp transfer.,open,01/01/20 00:34:01,01/01/20 04:41:31,https://github.com/python/cpython/pull/17774
python/cpython,PR,17773,vsajip,bpo-39142: Avoid converting namedtuple instances to ConvertingTuple.,open,12/31/19 22:19:23,01/01/20 16:30:10,https://github.com/python/cpython/pull/17773
python/cpython,PR,17769,pablogsal,bpo-39114: Fix tracing of except handlers with name binding,open,12/31/19 11:53:22,01/01/20 20:21:40,https://github.com/python/cpython/pull/17769
python/cpython,PR,17768,jidn,bpo-39170:  Sqlite3 row_factory for attribute access: sqlite3.NamedRow,open,12/31/19 10:17:03,12/31/19 17:45:45,https://github.com/python/cpython/pull/17768
python/cpython,PR,17760,isidentical,bpo-38870: Docstring support for function/class/module nodes,open,12/30/19 23:37:25,12/31/19 01:43:08,https://github.com/python/cpython/pull/17760
python/cpython,PR,17757,bmerry,bpo-36051: drop GIL during large b''.join operations,open,12/30/19 18:46:40,12/31/19 15:00:32,https://github.com/python/cpython/pull/17757
python/cpython,PR,17756,markshannon,Simplify control flow when exiting the interpreter.,open,12/30/19 16:54:01,12/31/19 02:03:36,https://github.com/python/cpython/pull/17756
python/cpython,PR,17755,callumquick,bpo-38314: Add is_reading() method to asyncio _UnixReadPipeTransport,open,12/30/19 16:53:37,12/30/19 16:53:42,https://github.com/python/cpython/pull/17755
python/cpython,PR,17754,markshannon,bpo-39156: Break up COMPARE_OP into four logically distinct opcodes.,open,12/30/19 13:54:38,12/30/19 14:15:11,https://github.com/python/cpython/pull/17754
python/cpython,PR,17753,tonybaloney,bpo-39162 fix a logic bug in the Tcl/Tk include scanner for macOS in setup.py,open,12/30/19 13:50:52,12/30/19 15:11:50,https://github.com/python/cpython/pull/17753
python/cpython,PR,17752,jd,bpo-39164: errors: add and expose _PyErr_GetExcInfo,open,12/30/19 13:40:59,12/30/19 13:44:00,https://github.com/python/cpython/pull/17752
